Date,Open,High,Low,Close,Volume
19-Jan-14,4920,5021,4842.35,4973.05,542178544.9
19-Jan-14,14.75,15,14.4,14.75,73150752.65
19-Jan-14,2725,2816.8,2701.2,2800.5,76328502.7
19-Jan-14,1660.9,1711.25,1632.6,1701.9,1633515523
19-Jan-14,158.15,162,155,155.25,31179555.15
19-Jan-14,691,704,677,692.75,37964023.15
19-Jan-14,14.85,14.85,14.85,14.85,2970
19-Jan-14,96.95,96.95,88.1,88.5,3751714.6
19-Jan-14,1125,1155,1116.55,1139.65,289230929.9
19-Jan-14,16.4,16.7,16,16.3,32649515.45
19-Jan-14,251,252.7,247,251.45,20603539.9
19-Jan-14,111.1,111.6,107.1,109.05,4904653.9
19-Jan-14,126.5,127.9,121.75,122.7,277451746
19-Jan-14,79.6,79.6,72.75,73.3,351468.25
19-Jan-14,2150,2155.05,2126.35,2145.35,1315733.25
19-Jan-14,251.75,251.75,242.3,247.8,12396067.6
19-Jan-14,40.9,40.9,38.1,38.25,579045.6
19-Jan-14,162,166.65,161.45,165.4,1404783485
19-Jan-14,2690,2739,2690,2734.6,3670268.25
19-Jan-14,161.2,165.55,159.1,164.95,564562907.8
19-Jan-14,112.8,112.85,106.2,110.05,5725200
19-Jan-14,133.1,136.9,132.35,135.25,1775486.35
19-Jan-14,14.55,14.85,14.45,14.6,616344.35
19-Jan-14,2210,2249,2195.05,2219.3,26952372.65
19-Jan-14,336.8,336.8,312.4,319.6,9469036.65
19-Jan-14,719.3,723.15,709,716.25,395719206.1
19-Jan-14,4679.8,4679.8,4540,4575.35,65979670.9
19-Jan-14,1398.7,1424,1375.05,1387.05,35870334.7
19-Jan-14,1588.2,1633.9,1561.05,1601.25,245447545.1
19-Jan-14,65,70,64.05,67.8,2823750
19-Jan-14,65.5,67,65.35,66.75,216914.65
19-Jan-14,27,27.45,26.25,26.5,504589.05
19-Jan-14,171.75,173.4,170.1,172.75,317543311.8
19-Jan-14,1510,1528.2,1493.05,1513.6,474580643.3
19-Jan-14,146,146.35,177.9,142.25,217547552
19-Jan-14,254,254.8,245.2,246.65,272522607.1
19-Jan-14,170.1,173.6,168,170,1631520
19-Jan-14,351,351,330.1,338.2,69045831.1
19-Jan-14,515.95,526.3,503.25,512,366903297.9
19-Jan-14,6.2,6.45,6,6,220482.7
19-Jan-14,136,138.6,133.65,135.65,21391937.35
19-Jan-14,276,283.6,272,278.65,4471410.2
19-Jan-14,44.9,45.5,43.1,44.55,2295523.45
19-Jan-14,22.1,23.3,22.1,23.3,28288.5
19-Jan-14,4,4.1,3.9,4,829275.6
19-Jan-14,1004.3,1010,999.65,1006.35,283567407.1
19-Jan-14,721.1,737.45,715.1,735.75,502816569.3
19-Jan-14,149.2,193.7,146.25,192.3,8246478.35
19-Jan-14,6.7,7,6.65,6.8,233477.15
19-Jan-14,37.65,37.97,37.57,37.92,56363625.36
19-Jan-14,4450,4488,4330,4343.35,2976757.75
19-Jan-14,137.4,140.95,135.8,137.1,27919071.9
19-Jan-14,484,500.25,483.5,497.9,4430451746
19-Jan-14,97,98.4,96.2,97.55,425528955.4
19-Jan-14,66.8,68.3,64.7,64.95,142610903.4
19-Jan-14,136,137.3,134.8,136.15,10904849
19-Jan-14,509.9,509.9,487.75,493.35,4289328.2
19-Jan-14,1.35,1.35,1.35,1.35,31407.35
19-Jan-14,1.8,1.9,1.8,1.9,29867.8
19-Jan-14,131.6,131.9,130.85,130.85,2942543.15
19-Jan-14,37.05,38.2,36.2,36.75,6622369.5
19-Jan-14,549,575,545.1,569.35,4939724813
19-Jan-14,16.75,17,16.05,16.1,55889.35
19-Jan-14,58.5,60.5,57,58.95,792097.6
19-Jan-14,1175,1149,1150.2,1158,61206964.2
19-Jan-14,85.7,89,85,87.75,17578172.25
19-Jan-14,36.3,38.5,36.3,37.75,5611465.25
19-Jan-14,7.55,7.55,7.15,7.45,32974.55
19-Jan-14,199.1,204.75,198.7,202.85,192868848
19-Jan-14,61.95,61.95,60.5,61,12030739.8
19-Jan-14,236.2,237.5,228.95,233.25,87399819.9
19-Jan-14,34,35.5,32.35,34.95,724346.8
19-Jan-14,131.3,131.3,131.3,131.3,5383.3
19-Jan-14,4735.05,4735.05,4605,4645.5,42779749.15
19-Jan-14,761.15,800,746,773.85,46631489.2
19-Jan-14,166.1,168,162.1,163.35,43325785.65
19-Jan-14,41.8,41.9,39.4,41.35,4060800
19-Jan-14,248.9,259.3,237.1,254.5,1571222046
19-Jan-14,19903.7,20019.2,19810.1,19976.15,303319892.7
19-Jan-14,471.9,478.5,465.4,477.3,1447003880
19-Jan-14,98,101.2,95.6,96.75,73490115.6
19-Jan-14,90.5,91.7,86.65,88.3,30005998.7
19-Jan-14,295.65,299.35,290.5,291.8,14146015.3
19-Jan-14,4665,4692.8,4630,4684.45,306422050.7
19-Jan-14,145.1,192,144.25,145.3,3944984.55
19-Jan-14,106.45,107.5,104.3,105.85,5691474.7
19-Jan-14,921.65,928.65,907.05,909.6,223889736.2
19-Jan-14,5.95,5.95,5.5,5.55,573930.6
19-Jan-14,103.5,105.7,102,103.55,3873316.15
19-Jan-14,2768.35,2814,2756.05,2811.6,55712.55
19-Jan-14,1.55,1.6,1.5,1.55,607114.85
19-Jan-14,107,109.75,107,109.5,19776.25
19-Jan-14,13.25,13.9,12.85,13.1,2532809.3
19-Jan-14,597.55,597.55,567.7,576.15,49367069.3
19-Jan-14,33.8,33.85,31.75,32.05,463989.9
19-Jan-14,176.55,177.9,171.95,173.9,11435262.25
19-Jan-14,437.75,451,433.15,441.55,591747875
19-Jan-14,112,116,111,111.4,1353300
